Model,History Gain,Block Consistency (with history),Block Consistency (no history),Refusal Rate (with history),Refusal Rate (no history),Z-test p-value,Significant Difference,Long Passage Loss (With History),Table Coherence
gemini-2.0-flash-lite,0.01388888888888884,0.7,0.2,0.0,0.0,0.8309337095589895,False,0.16666666666666663,-0.20833333333333337
llama-3.3-70b-versatile,0.02777777777777779,0.1,0.5,0.0,0.0,0.6736693243745799,False,0.16666666666666663,-0.20833333333333337
gemma2-9b-it,0.06944444444444442,0.5,0.6,0.0,0.0,0.35585324253284023,False,0.5,0.25
llama-3.1-8b-instant,0.06944444444444453,0.5,0.6,0.0,0.0,0.36258497892738206,False,0.33333333333333337,0.0
allam-2-7b,-0.05555555555555558,0.4,0.5,0.0,0.0,0.5049850750938456,False,0.375,-0.08333333333333331
llama3-70b-8192,-0.04166666666666674,0.5,0.5,0.0,0.0,0.5218393903336147,False,0.29166666666666663,-0.04166666666666674
