Model,With History Correct,With History Total,No History Correct,No History Total,Z-statistic,P-value,Significant
gemini-2.0-flash-lite,59,72,58,72,0.21350420507344878,0.8309337095589895,False
llama-3.3-70b-versatile,59,72,57,72,0.4211174438061581,0.6736693243745799,False
gemma2-9b-it,54,72,49,72,0.9232954804194141,0.35585324253284023,False
llama-3.1-8b-instant,53,72,48,72,0.9104504936087733,0.36258497892738206,False
allam-2-7b,34,72,38,72,-0.666666666666667,0.5049850750938456,False
llama3-70b-8192,57,72,60,72,-0.6405126152203497,0.5218393903336147,False
